Chromosome	Start	End	Copy Number
1	1	100000	nan
1	100001	200000	nan
1	200001	300000	nan
1	300001	400000	nan
1	400001	500000	nan
1	500001	600000	nan
1	600001	700000	nan
1	700001	800000	2.384396632
1	800001	900000	1.029534936
1	900001	1000000	nan
1	1000001	1100000	1.986567717
1	1100001	1200000	1.41121116
1	1200001	1300000	nan
1	1300001	1400000	nan
1	1400001	1500000	2.862740154
1	1500001	1600000	2.651084351
1	1600001	1700000	3.311354237
1	1700001	1800000	2.555358871
1	1800001	1900000	2.159535577
1	1900001	2000000	3.030352103
1	2000001	2100000	3.305895554
1	2100001	2200000	2.328384004
1	2200001	2300000	3.144351762
1	2300001	2400000	2.19507885
1	2400001	2500000	1.819387286
1	2500001	2600000	2.902262848
1	2600001	2700000	nan
1	2700001	2800000	1.658271343
1	2800001	2900000	2.347940063
1	2900001	3000000	1.742424443
1	3000001	3100000	1.826358911
1	3100001	3200000	2.649192522
1	3200001	3300000	2.469515681
1	3300001	3400000	2.379038266
1	3400001	3500000	3.652288509
1	3500001	3600000	2.05029416
1	3600001	3700000	2.473859351
1	3700001	3800000	2.868301785
1	3800001	3900000	1.902563492
1	3900001	4000000	nan
1	4000001	4100000	1.786398655
1	4100001	4200000	2.263055355
1	4200001	4300000	2.334585257
1	4300001	4400000	1.970851575
1	4400001	4500000	1.893479309
1	4500001	4600000	1.25555342
1	4600001	4700000	2.453955589
1	4700001	4800000	1.662290983
1	4800001	4900000	2.01015161
1	4900001	5000000	1.835043284
1	5000001	5100000	1.304467128
1	5100001	5200000	2.82560751
1	5200001	5300000	2.570080426
1	5300001	5400000	1.943457411
1	5400001	5500000	1.797231518
1	5500001	5600000	1.905874478
1	5600001	5700000	2.481665775
1	5700001	5800000	1.842989356
1	5800001	5900000	2.18132274
1	5900001	6000000	1.821523485
1	6000001	6100000	2.771569556
1	6100001	6200000	2.285791951
1	6200001	6300000	2.583321949
1	6300001	6400000	1.52932684
1	6400001	6500000	2.707072721
1	6500001	6600000	nan
1	6600001	6700000	1.512586871
1	6700001	6800000	2.661768802
1	6800001	6900000	2.591614102
1	6900001	7000000	1.814218055
1	7000001	7100000	3.409349661
1	7100001	7200000	2.259632985
1	7200001	7300000	2.64834553
1	7300001	7400000	2.243408322
1	7400001	7500000	2.536160578
1	7500001	7600000	2.326564238
1	7600001	7700000	2.799492808
1	7700001	7800000	2.953517382
1	7800001	7900000	1.909454078
1	7900001	8000000	2.046990843
1	8000001	8100000	2.265942486
1	8100001	8200000	2.712064628
