Chromosome	Start	End	Copy Number
1	1	100000	nan
1	100001	200000	nan
1	200001	300000	nan
1	300001	400000	nan
1	400001	500000	nan
1	500001	600000	nan
1	600001	700000	nan
1	700001	800000	1.153887241
1	800001	900000	1.062058565
1	900001	1000000	nan
1	1000001	1100000	1.653049897
1	1100001	1200000	1.856349743
1	1200001	1300000	nan
1	1300001	1400000	nan
1	1400001	1500000	3.242069651
1	1500001	1600000	1.779020514
1	1600001	1700000	1.66207084
1	1700001	1800000	2.115107006
1	1800001	1900000	1.703750279
1	1900001	2000000	3.932394875
1	2000001	2100000	1.798067798
1	2100001	2200000	1.816168915
1	2200001	2300000	1.754340773
1	2300001	2400000	1.773125355
1	2400001	2500000	1.964383706
1	2500001	2600000	1.955966905
1	2600001	2700000	nan
1	2700001	2800000	2.20334675
1	2800001	2900000	1.966015184
1	2900001	3000000	1.939947191
1	3000001	3100000	2.547773049
1	3100001	3200000	2.302050273
1	3200001	3300000	1.956150266
1	3300001	3400000	2.636807643
1	3400001	3500000	2.418219967
1	3500001	3600000	1.641301212
1	3600001	3700000	1.720379167
1	3700001	3800000	2.600617743
1	3800001	3900000	1.250738273
1	3900001	4000000	nan
1	4000001	4100000	2.443545885
1	4100001	4200000	1.211258092
1	4200001	4300000	1.206867266
1	4300001	4400000	1.795158156
1	4400001	4500000	1.728008489
1	4500001	4600000	2.039762566
1	4600001	4700000	3.012659215
1	4700001	4800000	2.727032519
1	4800001	4900000	1.966169933
1	4900001	5000000	1.830194074
1	5000001	5100000	1.524709968
1	5100001	5200000	2.709240095
1	5200001	5300000	1.74643008
1	5300001	5400000	1.730458218
1	5400001	5500000	2.303742688
1	5500001	5600000	1.940082034
1	5600001	5700000	1.426600479
1	5700001	5800000	2.717351823
1	5800001	5900000	1.641319314
1	5900001	6000000	1.822719335
1	6000001	6100000	1.453648585
1	6100001	6200000	2.166650145
1	6200001	6300000	2.133898936
1	6300001	6400000	1.794868234
1	6400001	6500000	2.901192407
1	6500001	6600000	nan
1	6600001	6700000	0.8117458626
1	6700001	6800000	2.169405896
1	6800001	6900000	2.044947089
1	6900001	7000000	1.299372921
1	7000001	7100000	2.171591923
1	7100001	7200000	2.375486993
1	7200001	7300000	1.633421097
1	7300001	7400000	2.218120817
1	7400001	7500000	2.062647814
1	7500001	7600000	1.597434339
1	7600001	7700000	1.32250664
1	7700001	7800000	1.844926471
1	7800001	7900000	2.310964065
1	7900001	8000000	2.113215931
1	8000001	8100000	2.553684334
1	8100001	8200000	2.201315555
