Chromosome	Start	End	Copy #	Region Confidence	
1	995002	249197778	1.955	1.0	
2	553931	242570553	1.961	1.0	
3	614560	197678390	2.019	1.0	
4	602531	190874077	2.055	1.0	
5	633399	180599816	2.013	1.0	
6	646712	170976006	1.998	1.0	
7	616253	158810314	2.01	1.0	
8	663894	145735723	2.012	1.0	
9	648196	140605108	2.043	1.0	
10	642333	135182914	1.96	1.0	
11	721142	134890349	1.951	1.0	
12	685839	133380179	1.984	1.0	
13	19812720	114494829	1.945	1.0	
14	20088374	107199732	1.964	1.0	
15	21849447	101997386	2.028	1.0	
16	640998	89777490	2.028	1.0	
17	677241	81043130	2.028	1.0	
18	618247	77620709	2.058	1.0	
19	755312	58904496	1.969	1.0	
20	621362	62715666	2.063	1.0	
21	12404631	47672489	2.107	1.0	
22	17120388	50726560	1.947	1.0	
23	3354528	153076796	0.958	1.0	
24	3949461	41459214	0.935	1.0	
25	99999998	99999999	0.0	0.0	
