Chromosome	Start	End	Copy #	Region Confidence	
1	995002	249197778	1.967	1.0	
2	553931	242570553	1.976	1.0	
3	614560	197678390	1.978	1.0	
4	602531	190874077	1.978	1.0	
5	633399	180599816	1.909	1.0	
6	646712	170976006	2.002	1.0	
7	616253	158810314	2.009	1.0	
8	663894	145735723	2.059	1.0	
9	648196	140605108	2.014	1.0	
10	642333	135182914	2.009	1.0	
11	721142	134890349	2.004	1.0	
12	685839	133380179	2.055	1.0	
13	19812720	114494829	2.006	1.0	
14	20088374	107199732	2.03	1.0	
15	21849447	101997386	2.002	1.0	
16	640998	89777490	2.13	1.0	
17	677241	81043130	1.963	1.0	
18	618247	77620709	1.99	1.0	
19	755312	58904496	1.998	1.0	
20	621362	62715666	1.99	1.0	
21	12404631	47672489	1.991	1.0	
22	17120388	50726560	2.088	1.0	
23	3354528	153076796	1.957	1.0	
24	3949461	41459214	0.0	1.0	
25	99999998	99999999	0.0	0.0	
