Chromosome	Start	End	Copy Number
1	1	100000	nan
1	100001	200000	nan
1	200001	300000	nan
1	300001	400000	nan
1	400001	500000	nan
1	500001	600000	nan
1	600001	700000	nan
1	700001	800000	1.01069344
1	800001	900000	1.490873978
1	900001	1000000	nan
1	1000001	1100000	2.142928937
1	1100001	1200000	3.271791328
1	1200001	1300000	nan
1	1300001	1400000	nan
1	1400001	1500000	1.963901579
1	1500001	1600000	0.7643771824
1	1600001	1700000	1.575445142
1	1700001	1800000	1.338782669
1	1800001	1900000	1.33356792
1	1900001	2000000	1.920461629
1	2000001	2100000	2.948764328
1	2100001	2200000	2.334237376
1	2200001	2300000	2.634087401
1	2300001	2400000	1.440074993
1	2400001	2500000	1.891171843
1	2500001	2600000	2.09818513
1	2600001	2700000	nan
1	2700001	2800000	2.83758917
1	2800001	2900000	2.119722112
1	2900001	3000000	2.335978872
1	3000001	3100000	2.076263468
1	3100001	3200000	2.115785469
1	3200001	3300000	1.937676548
1	3300001	3400000	1.282289733
1	3400001	3500000	2.75015329
1	3500001	3600000	1.102032276
1	3600001	3700000	1.682161287
1	3700001	3800000	2.300649149
1	3800001	3900000	1.480287422
1	3900001	4000000	nan
1	4000001	4100000	2.099712153
1	4100001	4200000	2.258839731
1	4200001	4300000	1.764794667
1	4300001	4400000	2.11385703
1	4400001	4500000	1.826536248
1	4500001	4600000	2.279529201
1	4600001	4700000	1.677158048
1	4700001	4800000	2.310909451
1	4800001	4900000	1.866061805
1	4900001	5000000	1.832936905
1	5000001	5100000	2.091947021
1	5100001	5200000	1.489620174
1	5200001	5300000	2.541291325
1	5300001	5400000	1.906722853
1	5400001	5500000	2.40422331
1	5500001	5600000	1.998935433
1	5600001	5700000	1.884628764
1	5700001	5800000	2.357260165
1	5800001	5900000	1.900284923
1	5900001	6000000	1.662612878
1	6000001	6100000	1.967237285
1	6100001	6200000	2.32255903
1	6200001	6300000	2.176819574
1	6300001	6400000	1.851866655
1	6400001	6500000	1.80866938
1	6500001	6600000	nan
1	6600001	6700000	1.740307721
1	6700001	6800000	1.60711563
1	6800001	6900000	2.323098722
1	6900001	7000000	1.694376526
1	7000001	7100000	1.952230895
1	7100001	7200000	2.173373155
1	7200001	7300000	2.355252779
1	7300001	7400000	2.646915293
1	7400001	7500000	1.648996393
1	7500001	7600000	1.849225534
1	7600001	7700000	2.468709904
1	7700001	7800000	2.160092986
1	7800001	7900000	2.059359339
1	7900001	8000000	2.147428743
1	8000001	8100000	2.307858783
1	8100001	8200000	2.42950202
