Chromosome	Start	End	Copy Number
1	1	100000	nan
1	100001	200000	nan
1	200001	300000	nan
1	300001	400000	nan
1	400001	500000	nan
1	500001	600000	nan
1	600001	700000	nan
1	700001	800000	2.538664321
1	800001	900000	1.242651286
1	900001	1000000	nan
1	1000001	1100000	1.724311085
1	1100001	1200000	3.383032975
1	1200001	1300000	nan
1	1300001	1400000	nan
1	1400001	1500000	0.9644911691
1	1500001	1600000	1.47724098
1	1600001	1700000	2.293308419
1	1700001	1800000	2.217198606
1	1800001	1900000	2.069410636
1	1900001	2000000	1.877715358
1	2000001	2100000	2.130020833
1	2100001	2200000	0.8561815993
1	2200001	2300000	1.70817359
1	2300001	2400000	3.568287899
1	2400001	2500000	1.404232267
1	2500001	2600000	1.76136335
1	2600001	2700000	nan
1	2700001	2800000	1.899224177
1	2800001	2900000	1.061892209
1	2900001	3000000	2.345859015
1	3000001	3100000	1.518368063
1	3100001	3200000	1.530024326
1	3200001	3300000	1.679844765
1	3300001	3400000	1.848084213
1	3400001	3500000	0.7314596372
1	3500001	3600000	0.9461898979
1	3600001	3700000	0.6745978144
1	3700001	3800000	2.013449461
1	3800001	3900000	0.9094401545
1	3900001	4000000	nan
1	4000001	4100000	1.258928945
1	4100001	4200000	2.016449842
1	4200001	4300000	1.814304204
1	4300001	4400000	1.999110266
1	4400001	4500000	2.286241499
1	4500001	4600000	2.267018708
1	4600001	4700000	1.88835664
1	4700001	4800000	2.181877293
1	4800001	4900000	2.423687298
1	4900001	5000000	2.200740502
1	5000001	5100000	1.92193783
1	5100001	5200000	2.663415692
1	5200001	5300000	2.530269618
1	5300001	5400000	3.460480847
1	5400001	5500000	2.342818037
1	5500001	5600000	2.424565832
1	5600001	5700000	2.670055703
1	5700001	5800000	2.3899554
1	5800001	5900000	2.565960372
1	5900001	6000000	2.311915812
1	6000001	6100000	1.041960482
1	6100001	6200000	1.220070067
1	6200001	6300000	1.022492522
1	6300001	6400000	1.417302378
1	6400001	6500000	1.909592728
1	6500001	6600000	nan
1	6600001	6700000	1.409739947
1	6700001	6800000	2.119430865
1	6800001	6900000	1.650021633
1	6900001	7000000	1.739410844
1	7000001	7100000	1.352353331
1	7100001	7200000	1.425144931
1	7200001	7300000	2.185906336
1	7300001	7400000	2.135174042
1	7400001	7500000	1.636247778
1	7500001	7600000	1.132746125
1	7600001	7700000	1.952372179
1	7700001	7800000	0.5612674251
1	7800001	7900000	1.993832524
1	7900001	8000000	2.684237429
1	8000001	8100000	1.190929277
